# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
neng shou 	能手	c=0 d=0.1 t=61235
neng tui 	能退	c=0 d=8.41459e-30 t=66314
neng zhuan 	能賺	c=1 d=6.85004e-50 t=66314
ni 	你	c=171 d=0.27221 t=66314
ni 	膩	c=1 d=1 t=56596
ni biao jie 	你表姐	c=1 d=1 t=26348
ni cheng 	昵稱	c=2 d=1 t=56009
ni de 	你的	c=5 d=2.11405e-13 t=66314
ni er zi 	你兒子	c=1 d=2.43845e-16 t=66314
ni gao 	你搞	c=1 d=3.01184e-30 t=66314
ni hai 	你還	c=1 d=1 t=43117
ni hao 	你好	c=2 d=0.955997 t=66314
ni jiu 	你就	c=1 d=2.641e-44 t=66314
ni jiu shuo 	你就說	c=1 d=2.65424e-43 t=66314
ni kan 	你看	c=0 d=1.43699e-31 t=66314
ni kan kan 	你看看	c=7 d=6.66275e-18 t=66314
ni kan yi xia 	你看一下	c=1 d=1 t=30292
ni ke yi 	你可以	c=3 d=1.30859e-17 t=66314
ni lai 	你來	c=1 d=1 t=49150
ni ma 	你媽	c=1 d=3.17004e-44 t=66314
ni mai 	你買	c=3 d=1.04956e-32 t=66314
ni me 	你麼	c=1 d=1 t=31125
ni men 	你們	c=72 d=0.026928 t=66314
ni men neng 	你們能	c=1 d=1 t=43120
ni ming 	匿名	c=1 d=1 t=49065
ni ne 	你呢	c=1 d=1.07433e-20 t=66314
ni shi 	你是	c=3 d=3.49213e-06 t=66314
ni shui 	溺水	c=1 d=1 t=39273
ni xian 	你先	c=1 d=7.91783e-19 t=66314
ni xian zai 	你現在	c=1 d=1 t=38877
ni xiang 	你想	c=1 d=2.24975e-39 t=66314
ni yao 	你要	c=3 d=9.74117e-16 t=66314
ni yao bu yao 	你要不要	c=2 d=4.22415e-39 t=66314
ni ye 	你也	c=1 d=6.30169e-39 t=66314
ni ye shi 	你也是	c=1 d=1 t=61181
ni ying gai 	你應該	c=1 d=0.0111647 t=66314
ni you 	你有	c=3 d=1 t=54962
ni zai 	你在	c=3 d=2.44434e-15 t=66314
ni zhao 	你找	c=0 d=0.1 t=59158
ni zhao wo 	你找我	c=1 d=1 t=59159
ni zhao yi xie 	你找一些	c=1 d=1 t=59759
ni zhi dao 	你知道	c=1 d=1 t=64173
ni zhi de 	你值得	c=3 d=5.00877e-14 t=66314
ni zou le 	你走了	c=1 d=1 t=56846
nian 	年	c=11 d=0.0297478 t=66314
nian bao 	年報	c=6 d=1.00081 t=45269
nian fen 	年份	c=1 d=1 t=56720
nian hou 	年後	c=4 d=1.00084 t=49352
nian ling 	年齡	c=1 d=0.00163682 t=66314
nian mo 	年末	c=1 d=1 t=41843
nian qing 	年輕	c=1 d=1 t=53798
nian shen 	年審	c=1 d=1 t=50942
nie zhe 	捏着	c=1 d=2.82961e-31 t=66314
ning wai 	寧外	c=1 d=1 t=43142
niu 	扭	c=2 d=1.07229e-27 t=66314
niu 	牛	c=8 d=5.12493e-20 t=66314
niu bi 	牛逼	c=23 d=7.83104e-07 t=66314
niu niu 	牛牛	c=0 d=0.1 t=57891
niu niu niu 	牛牛牛	c=1 d=1 t=57892
niu zai 	牛仔	c=2 d=1.89038e-17 t=66314
nong 	弄	c=1 d=1 t=54755
nong bao 	農保	c=2 d=7.87705e-05 t=66314
nong cun 	農村	c=1 d=5.06789e-05 t=66314
nong de 	弄得	c=1 d=9.98915e-47 t=66314
nong tian 	農田	c=1 d=7.33822e-07 t=66314
nuo 	諾	c=1 d=1 t=57574
nuo wei 	挪威	c=1 d=1 t=55028
nv 	女	c=1 d=7.31903e-35 t=66314
nv de 	女的	c=1 d=3.0416e-28 t=66314
nv sheng 	女生	c=1 d=3.1777e-43 t=66314
o 	哦	c=18 d=0.00414854 t=66314
o 	噢	c=1 d=1 t=47517
o o 	哦哦	c=40 d=0.0130322 t=66314
o o o 	哦哦哦	c=19 d=7.62918e-05 t=66314
o o o o 	哦哦哦哦	c=1 d=1 t=36418
o yu 	哦與	c=2 d=1 t=48257
ou 	嘔	c=6 d=1.26332e-44 t=66314
ou er 	偶爾	c=1 d=1 t=50700
ou he 	耦合	c=2 d=1.9802 t=51083
ou ke 	歐克	c=1 d=6.82444e-06 t=66314
ou niao 	鷗鳥	c=2 d=1.40454 t=35541
ou qi 	歐氣	c=1 d=1 t=47538
ou tu 	嘔吐	c=0 d=0.1 t=38006
pa 	怕	c=6 d=7.67467e-05 t=66314
pa 	爬	c=1 d=5.64143e-31 t=66314
pa 	趴	c=0 d=2.98746e-53 t=66314
pa bu shi 	怕不是	c=1 d=2.37776e-43 t=66314
pa pang 	怕胖	c=1 d=7.82971e-05 t=66314
pa shang qu 	爬上去	c=1 d=6.75402e-31 t=66314
pa ta 	怕她	c=1 d=0.951229 t=66314
pa ta men 	怕他們	c=1 d=1 t=30703
pa ya 	怕呀	c=1 d=7.14463e-16 t=66314
pa yi hui 	趴一會	c=12 d=3.15671e-13 t=66314
pai 	拍	c=1 d=1.07803e-31 t=66314
pai 	排	c=2 d=1 t=52513
pai 	牌	c=1 d=1 t=35455
pai cha 	排查	c=70 d=0.766306 t=66314
pai chu 	排除	c=1 d=1.71917e-51 t=66314
pai dui 	排隊	c=3 d=6.73867e-30 t=66314
pai lie 	排列	c=8 d=5.08445e-23 t=66314
pai qi 	排期	c=3 d=1.37344 t=51126
pai wei 	排位	c=1 d=1 t=56497
pai xu 	排序	c=4 d=2.12906e-08 t=66314
pan 	盤	c=10 d=8.38859e-22 t=66314
pan bie 	判別	c=1 d=7.68488e-50 t=66314
pan du 	判讀	c=2 d=0.0278757 t=66314
pan duan 	判斷	c=35 d=0.0940535 t=66314
pan zi 	盤子	c=1 d=1 t=41756
pang 	胖	c=11 d=0.00671187 t=66314
pang bian 	旁邊	c=1 d=4.98448e-45 t=66314
pang zi 	胖子	c=1 d=1 t=60492
pao 	泡	c=1 d=1 t=49568
pao 	跑	c=38 d=0.0441572 t=66314
pao le 	泡了	c=1 d=5.52202e-44 t=66314
pao le 	跑了	c=3 d=2.20108e-17 t=66314
pao liu cheng 	跑流程	c=1 d=1 t=28181
pao man 	拋滿	c=3 d=1 t=40030
pao tong 	跑通	c=1 d=9.91567e-19 t=66314
pao tui 	跑腿	c=0 d=3.80052e-32 t=66314
pao wan 	跑完	c=4 d=1.71922e-22 t=66314
pao wan le 	跑完了	c=2 d=0.000104117 t=66314
pao yi ci 	跑一次	c=1 d=1 t=26599
pao yi xia 	跑一下	c=3 d=1 t=56294
pei 	呸	c=2 d=2.14722e-42 t=66314
pei 	賠	c=2 d=1 t=56652
pei 	配	c=78 d=0.00559371 t=66314
pei bi 	配比	c=0 d=1.57371e-12 t=66314
pei cheng 	配成	c=1 d=1 t=55283
pei e 	配額	c=11 d=1 t=61620
pei ge 	配個	c=1 d=1 t=25321
pei hai zi 	配孩子	c=1 d=1 t=32478
pei hao 	配好	c=4 d=4.23883e-21 t=66314
pei hao le 	配好了	c=6 d=1.16905e-14 t=66314
pei he 	配合	c=4 d=1.19814e-08 t=66314
pei le 	配了	c=6 d=1.64727e-19 t=66314
pei ni 	陪你	c=1 d=1 t=29597
pei song 	配送	c=3 d=7.61903e-37 t=66314
pei wan 	配完	c=2 d=1 t=46577
pei wan le 	配完了	c=1 d=3.47223e-27 t=66314
pei yi xia 	配一下	c=2 d=1.00026 t=31662
pei zhi 	配置	c=347 d=1.77695 t=66314
pei zhi zhong xin 	配置中心	c=1 d=1 t=57682
pen 	噴	c=6 d=2.45577 t=66314
pen 	盆	c=1 d=5.27455e-34 t=66314
peng 	碰	c=2 d=1.52015e-37 t=66314
peng zhang 	膨脹	c=2 d=6.39933e-18 t=66314
pi 	批	c=6 d=1 t=65889
pi 	皮	c=7 d=1.29711e-32 t=66314
pi ci 	批次	c=3 d=1.47737e-05 t=66314
pi le 	批了	c=1 d=1 t=59525
pi li 	霹靂	c=2 d=1.00959e-38 t=66314
pi liang 	批量	c=10 d=7.47094e-12 t=66314
pi pei 	匹配	c=1 d=1 t=52701
pi pi 	皮皮	c=5 d=7.41197e-07 t=66314
pi sa 	批薩	c=-1 d=1.78628e-31 t=66314
pi sa 	披薩	c=1 d=1.79524e-31 t=66314
pi sha 	劈殺	c=1 d=1.77738e-31 t=66314
pi xiu 	貔貅	c=1 d=1 t=32052
pi yi xia 	皮一下	c=1 d=1 t=42650
pian 	偏	c=1 d=1 t=61451
pian 	片	c=2 d=4.4753e-42 t=66314
pian 	騙	c=1 d=1 t=36434
pian di 	偏低	c=3 d=1 t=65854
pian duan 	片段	c=3 d=2.55546e-38 t=66314
pian gao 	偏高	c=1 d=4.3327e-14 t=66314
pian xiang 	偏向	c=1 d=1 t=47468
pian yi 	便宜	c=1 d=2.32263e-18 t=66314
pian yi de 	便宜的	c=1 d=5.45499e-18 t=66314
piao 	票	c=3 d=4.05597e-31 t=66314
piao yi 	漂移	c=1 d=8.79563e-50 t=66314
pin 	拼	c=2 d=1.69449e-28 t=66314
pin cuo 	拼錯	c=0 d=7.35697e-38 t=66314
pin cuo le 	拼錯了	c=1 d=7.39385e-37 t=66314
pin duo duo 	拼多多	c=1 d=1 t=36426
pin fan 	頻繁	c=9 d=0.0559898 t=66314
pin fang 	拼房	c=1 d=5.21302e-43 t=66314
pin lv 	頻率	c=3 d=9.94642e-26 t=66314
pin ming 	拼命	c=1 d=1 t=48732
pin yin 	拼音	c=2 d=1 t=65222
ping 	屏	c=1 d=2.11434e-44 t=66314
ping 	平	c=7 d=1 t=62715
ping 	憑	c=1 d=1 t=30699
ping 	瓶	c=7 d=0.0123719 t=66314
ping an 	平安	c=1 d=3.6515e-31 t=66314
ping bi 	屏蔽	c=2 d=1.11943 t=35520
ping fen 	平分	c=2 d=8.93623e-44 t=66314
ping gu 	評估	c=14 d=0.342984 t=66314
ping guo 	蘋果	c=2 d=4.02854e-40 t=66314
ping jia 	評價	c=3 d=1 t=50614
ping jing 	瓶頸	c=9 d=5.19815e-07 t=66314
ping jun 	平均	c=45 d=5.80039e-05 t=66314
ping jun zhi 	平均值	c=4 d=1.04927e-07 t=66314
ping lun 	評論	c=4 d=1.96561 t=57745
ping mian tu 	平面圖	c=1 d=1 t=30042
ping mu 	屏幕	c=1 d=1 t=30041
ping sha 	憑啥	c=1 d=8.28227e-19 t=66314
ping shen 	評審	c=1 d=1 t=51236
ping shen me 	憑什麼	c=1 d=6.46452e-45 t=66314
ping shi 	平時	c=6 d=4.50722e-08 t=66314
ping shun 	平順	c=1 d=1.15962e-07 t=66314
ping tai 	平臺	c=36 d=2.02e-07 t=66314
ping tan 	平攤	c=1 d=2.81789e-41 t=66314
ping tou lun zu 	評頭論足	c=1 d=2.15156e-14 t=66314
ping zheng 	憑證	c=8 d=3.38378 t=55427
po 	破	c=1 d=6.05254e-35 t=66314
po huai 	破壞	c=1 d=4.20823e-24 t=66314
po jie 	破解	c=2 d=0.0013859 t=66314
pu 	譜	c=1 d=0.00189223 t=66314
pu bu 	瀑布	c=2 d=9.87798e-33 t=66314
pu dong 	浦東	c=4 d=2.83034e-31 t=66314
pu tong 	普通	c=8 d=1.14532e-08 t=66314
qi 	其	c=1 d=2.17651e-32 t=66314
qi 	器	c=3 d=1.31224 t=65195
qi 	棄	c=1 d=1 t=37638
qi 	氣	c=2 d=9.98469e-34 t=66314
qi 	起	c=6 d=1.4071e-18 t=66314
qi 	騎	c=1 d=1.1103e-25 t=66314
qi bu lai 	起不來	c=1 d=1 t=46639
qi che 	騎車	c=2 d=4.3417e-09 t=66314
qi chuang 	起牀	c=1 d=8.7007e-40 t=66314
qi dai 	期待	c=2 d=1.04496e-49 t=66314
qi dao 	騎到	c=1 d=2.02096e-42 t=66314
qi dian 	七點	c=1 d=5.92443e-48 t=66314
qi dong 	啓動	c=15 d=3.9571e-06 t=66314
qi eh 	其誒	c=2 d=6.68205e-52 t=66314
qi fang 	期房	c=1 d=7.00793e-24 t=66314
qi fu 	欺負	c=2 d=1.95566 t=66314
qi gao 	奇高	c=1 d=3.8236e-14 t=66314
qi ge 	七個	c=1 d=1 t=26188
qi ge che 	騎個車	c=1 d=1 t=26189
qi guai 	奇怪	c=6 d=0.254107 t=66314
qi ji 	奇跡	c=2 d=1 t=41477
qi jian 	期間	c=12 d=7.0189e-13 t=66314
qi lai 	起來	c=9 d=1.11955e-06 t=66314
qi lai le 	起來了	c=4 d=1.12516e-05 t=66314
qi niu 	七牛	c=31 d=2.00015 t=64964
qi niu 	氣牛	c=1 d=1 t=28519
qi niu de 	七牛的	c=1 d=1 t=52561
qi pa 	奇葩	c=2 d=1.91782e-14 t=66314
qi ruan pa ying 	欺軟怕硬	c=1 d=1 t=53332
qi shi 	其實	c=4 d=3.21466e-32 t=66314
qi shi 	起始	c=1 d=3.18376e-37 t=66314
qi shi fu 	起始符	c=1 d=3.19972e-36 t=66314
qi ta 	其他	c=136 d=0.065167 t=66314
qi ta de 	其他的	c=1 d=1 t=53284
qi wan 	悽婉	c=1 d=1 t=56126
qi wang 	期望	c=2 d=1 t=56127
qi xi 	七夕	c=1 d=8.17564e-43 t=66314
qi ye 	企業	c=3 d=1.43897e-37 t=66314
qi ye wei xin 	企業微信	c=2 d=1 t=55897
qi yi ge 	起一個	c=1 d=1 t=44392
qi yong 	啓用	c=1 d=1 t=37592
qi yong 	棄用	c=1 d=1 t=29838
qi yu 	其餘	c=1 d=1 t=31344
qi zhi 	起止	c=1 d=1 t=42527
qi zhong 	其中	c=6 d=6.23919e-10 t=66314
qia hao 	恰好	c=1 d=1.99223e-50 t=66314
qian 	前	c=22 d=0.0314298 t=66314
qian 	淺	c=2 d=1.03239 t=57415
qian 	簽	c=6 d=1 t=57400
qian 	錢	c=14 d=0.0326959 t=66314
qian dao 	遷到	c=5 d=5.43906e-13 t=66314
qian duan 	前段	c=1 d=1 t=54823
qian duan 	前端	c=26 d=0.704688 t=66314
qian fa 	簽發	c=1 d=1 t=24460
qian guo qu 	遷過去	c=1 d=1 t=26549
qian hou 	前後	c=1 d=1.37755e-34 t=66314
qian hou duan 	前後端	c=1 d=1.38446e-33 t=66314
qian hou duan 	錢後端	c=1 d=1.37755e-33 t=66314
qian ji tian 	前幾天	c=1 d=1.11185e-12 t=66314
qian jin 	前進	c=2 d=1.57623e-51 t=66314
qian ke long 	淺克隆	c=1 d=1 t=57416
qian liang 	前兩	c=2 d=6.27072e-10 t=66314
qian liang ge 	前兩個	c=1 d=1 t=60409
qian liang zhang 	前兩章	c=1 d=2.31314e-13 t=66314
qian mian 	前面	c=9 d=0.0717437 t=66314
qian ming 	簽名	c=24 d=0.173774 t=66314
qian nian 	前年	c=1 d=2.66854e-18 t=66314
qian nian de 	前年的	c=1 d=1 t=56943
qian qi 	前期	c=4 d=0.000303539 t=66314
qian que 	欠缺	c=1 d=1 t=27401
qian ren 	前任	c=1 d=8.63937e-45 t=66314
qian ru 	嵌入	c=2 d=1.55535e-20 t=66314
qian tai 	前臺	c=4 d=2.1992e-07 t=66314
qian tao 	嵌套	c=2 d=9.39942e-37 t=66314
qian ti 	前提	c=1 d=1.26922e-40 t=66314
qian tian 	前天	c=3 d=2.21023e-07 t=66314
qian wan 	千萬	c=1 d=1 t=45106
qian xu 	前序	c=3 d=2.75599e-15 t=66314
qian yi 	前一	c=0 d=4.45388e-16 t=66314
qian yi 	遷移	c=160 d=0.694784 t=66314
qian yi dao 	遷移到	c=4 d=6.59196e-10 t=66314
qian yi ge 	前一個	c=2 d=4.47621e-15 t=66314
qian yi guo 	遷移過	c=3 d=1.78775e-33 t=66314
qian yi hou 	遷移後	c=1 d=1 t=53875
qian yi tian 	前一天	c=2 d=1 t=65086
qian zhe 	前者	c=1 d=2.64514e-32 t=66314
qian zhi 	前置	c=2 d=1.72343e-32 t=66314
qian zhui 	前綴	c=6 d=3.9272e-05 t=66314
qian zou 	遷走	c=2 d=2.01866e-18 t=66314
qiang 	強	c=1 d=2.56208e-39 t=66314
qiang 	搶	c=6 d=0.0596059 t=66314
qiang 	牆	c=5 d=3.73041e-47 t=66314
qiang bu dao 	搶不到	c=1 d=1.27142e-31 t=66314
qiang da 	強大	c=1 d=1 t=57368
qiang dao 	搶到	c=1 d=1.15043e-31 t=66314
qiang guo 	搶過	c=1 d=1 t=65753
qiang qian 	搶錢	c=2 d=8.58643e-23 t=66314
qiang wai 	牆外	c=1 d=1.20855e-52 t=66314
qiang xing 	強行	c=1 d=1.44169e-39 t=66314
qiang zhi 	強制	c=2 d=5.56028e-37 t=66314
qiao 	翹	c=2 d=1.72253 t=46691
qiao li 	喬立	c=12 d=0.00134683 t=66314
qiao yuan 	喬圓	c=1 d=1.48282e-17 t=66314
qie 	且	c=16 d=0.00392002 t=66314
qie 	切	c=76 d=0.011484 t=66314
qie dao 	切到	c=14 d=3.58257e-12 t=66314
qie de 	切的	c=1 d=1 t=55493
qie dian 	切點	c=1 d=1 t=57763
qie gei 	切給	c=1 d=1 t=62763
qie huan 	切換	c=45 d=0.000604678 t=66314
qie huan dao 	切換到	c=6 d=1.83431e-49 t=66314
qie hui 	切回	c=4 d=1.42956 t=61076
qie hui lai 	切回來	c=1 d=1 t=50879
qie hui qu 	切回去	c=1 d=1 t=57930
qie ku 	切庫	c=1 d=1 t=30959
qie le 	切了	c=3 d=1.0102 t=42714
qie liang 	切量	c=17 d=0.289387 t=66314
qie xie 	切屑	c=1 d=1 t=64709
qie yi xia 	且一下	c=1 d=0.00386807 t=66314
qie zi 	茄子	c=2 d=1.97045 t=30193
qie zou 	切走	c=1 d=0.00532682 t=66314
qin 	琴	c=3 d=1 t=58834
qin fan 	侵犯	c=1 d=3.97829e-10 t=66314
qin quan 	侵權	c=0 d=0.1 t=45082
qing 	情	c=1 d=1 t=62974
qing 	慶	c=2 d=1.99501 t=63155
qing 	清	c=3 d=6.69386e-14 t=66314
qing 	請	c=6 d=0.99005 t=66314
qing 	輕	c=1 d=5.6032e-14 t=66314
qing chu 	清楚	c=19 d=0.0227089 t=66314
qing chu 	清除	c=4 d=9.51727e-28 t=66314
qing chu hou 	清除後	c=1 d=1 t=36502
qing chu qu 	請出去	c=1 d=1.14489e-33 t=66314
qing diao 	清掉	c=2 d=1 t=55585
qing er yi ju 	輕而易舉	c=1 d=2.8223e-30 t=66314
qing jiao 	請教	c=16 d=0.00108927 t=66314
qing ke 	請客	c=1 d=1.74064e-50 t=66314
qing kong 	清空	c=6 d=9.91399e-17 t=66314
qing kuang 	情況	c=40 d=0.299704 t=66314
qing kuang xia 	情況下	c=1 d=2.31307e-42 t=66314
qing le 	清了	c=3 d=0.000258659 t=66314
qing le 	請了	c=2 d=2.81071e-11 t=66314
qing li 	清理	c=42 d=0.00436092 t=66314
qing li zhong 	清理中	c=2 d=1.99501 t=51715
qing ling 	清零	c=5 d=1.21647e-45 t=66314
qing ma 	清嗎	c=1 d=3.41926e-52 t=66314
qing nian 	青年	c=1 d=1.60076e-35 t=66314
qing qi 	氫氣	c=1 d=2.00126e-15 t=66314
qing qiu 	請求	c=210 d=3.09541 t=66314
qing qiu liang 	請求量	c=1 d=6.86215e-12 t=66314
qing shi 	輕食	c=2 d=1.99005 t=29602
qing shi 	青石	c=2 d=3.06686e-25 t=66314
qing shi pin 	輕視頻	c=1 d=5.21319e-14 t=66314
qing tui 	清退	c=3 d=2.81058 t=50254
qing wo 	請我	c=1 d=0.0393602 t=66314
qing xi 	清晰	c=7 d=1.32651e-30 t=66314
qing xi du 	清晰度	c=8 d=5.238e-36 t=66314
qing xiang 	傾向	c=1 d=1.37185e-43 t=66314
qing zhu 	慶祝	c=2 d=1.99501 t=57225
qiong 	窮	c=1 d=1 t=24954
qiu 	求	c=10 d=0.000228576 t=66314
qiu 	球	c=1 d=5.34863e-51 t=66314
qiu 	秋	c=5 d=1 t=61622
qiu qiu 	求求	c=1 d=1 t=61772
qiu qiu 	球球	c=2 d=1.7551e-47 t=66314
qiu shen pi 	求審批	c=4 d=1 t=57202
qu 	區	c=1 d=0.1 t=65480
qu 	去	c=60 d=0.0705422 t=66314
qu 	取	c=14 d=2.00089e-14 t=66314
qu ba 	去吧	c=4 d=2.46295e-16 t=66314
qu bie 	區別	c=12 d=0.000547713 t=66314
qu bu dao 	取不到	c=2 d=1 t=44210
qu bu le 	去不了	c=1 d=1 t=54726
qu chang sha 	去長沙	c=1 d=1.29711e-31 t=66314
qu chi 	去吃	c=1 d=6.81356e-46 t=66314
qu chong 	驅蟲	c=1 d=1 t=24943
qu chu 	去除	c=55 d=0.0071906 t=66314
qu diao 	去掉	c=22 d=0.000934966 t=66314
qu er ne 	去而呢	c=1 d=1 t=51105
qu fang song 	去放鬆	c=1 d=1 t=61118
qu fen 	區分	c=34 d=0.33454 t=66314
qu guo 	去過	c=1 d=1.60518e-38 t=66314
qu guo le 	去過了	c=1 d=5.75932e-39 t=66314
qu jian 	區間	c=5 d=3.69271e-16 t=66314
qu le 	去了	c=3 d=0.0123389 t=66314
qu le 	取了	c=1 d=1 t=33604
qu na 	去哪	c=3 d=9.13413e-07 t=66314
qu na li 	去哪裏	c=0 d=0.1 t=26427
qu nian 	去年	c=11 d=1.00877e-17 t=66314
qu ren 	去任	c=1 d=0.00017956 t=66314
qu shi 	趨勢	c=1 d=5.40531e-28 t=66314
qu ta ma de 	去他媽的	c=1 d=2.92283e-30 t=66314
qu xian 	曲線	c=10 d=2.37743e-12 t=66314
qu xian tu 	曲線圖	c=1 d=1.5802e-30 t=66314
qu xiao 	取消	c=31 d=0.0173355 t=66314
qu yi xia 	去一下	c=1 d=1 t=24948
qu yu 	區域	c=3 d=1.08381e-35 t=66314
qu zhao 	去找	c=1 d=1 t=52385
qu zhi 	取值	c=1 d=1 t=63457
quan 	全	c=17 d=0.00162866 t=66314
quan 	券	c=4 d=1 t=65896
quan 	圈	c=2 d=3.3396e-10 t=66314
quan ban 	全班	c=1 d=3.03788e-43 t=66314
quan bu 	全部	c=13 d=1.69541e-05 t=66314
quan deng 	全等	c=1 d=9.83039e-35 t=66314
quan fu wu zhuang 	全副武裝	c=1 d=1 t=50381
quan ji 	全集	c=1 d=1 t=35418
quan ji 	拳擊	c=1 d=1 t=56047
quan ju 	全局	c=3 d=1.99005 t=51782
quan liang 	全量	c=34 d=0.00727651 t=66314
quan liang le 	全量了	c=2 d=0.060205 t=66314
quan qie 	權且	c=1 d=1 t=30620
quan shi 	全市	c=1 d=1 t=57746
quan shi 	全是	c=1 d=1 t=57747
quan tian 	全天	c=1 d=1 t=40353
quan tui 	全推	c=1 d=1.40128e-28 t=66314
quan xian 	權限	c=52 d=1.3102e-09 t=66314
quan xin 	全新	c=2 d=1.87372 t=32215
quan yuan 	全員	c=1 d=1 t=49606
quan zai 	全在	c=1 d=1 t=28754
quan zhong 	權重	c=4 d=4.6977e-46 t=66314
quan zong 	全總	c=2 d=0.00149594 t=66314
que 	確	c=2 d=1 t=57785
que bao 	確保	c=1 d=1 t=29451
que dian 	缺點	c=3 d=1.79774e-18 t=66314
que ding 	確定	c=47 d=0.151829 t=66314
que fen 	卻分	c=1 d=1 t=29343
que ren 	確認	c=119 d=0.99005 t=66314
que ren guo 	確認過	c=1 d=1 t=28106
que ren xia 	確認下	c=5 d=1.02944 t=62248
que ren yi xia 	確認一下	c=2 d=2.55598e-11 t=66314
que ren zhong 	確認中	c=1 d=1 t=28609
que shao 	缺少	c=5 d=1.39045e-25 t=66314
que shi 	確實	c=9 d=0.514274 t=66314
qun 	羣	c=22 d=2.63387e-05 t=66314
qun li 	羣裏	c=13 d=0.000612815 t=66314
qun ou 	羣毆	c=0 d=0.1 t=57504
qun ou tian 	羣毆天	c=1 d=1 t=57505
qun xia zhuan 	羣俠傳	c=1 d=3.04781e-52 t=66314
qun zhu 	羣主	c=7 d=0.010889 t=66314
qun zi 	裙子	c=1 d=1 t=36446
qun zu 	羣組	c=1 d=1 t=66278
ran guo 	然過	c=1 d=5.82432e-24 t=66314
ran hou 	然後	c=105 d=0.38443 t=66314
ran huo 	然或	c=1 d=5.85351e-24 t=66314
ran shao 	燃燒	c=1 d=1 t=36156
rang 	讓	c=33 d=0.972726 t=66314
rang ni 	讓你	c=3 d=0.923116 t=66314
rang ta 	讓他	c=1 d=1.86273e-24 t=66314
rang wo 	讓我	c=2 d=1 t=65343
rao 	繞	c=1 d=3.28988e-10 t=66314
rao guo 	繞過	c=1 d=1 t=62512
rao xing 	繞行	c=2 d=1 t=64488
rao yi xia 	繞一下	c=1 d=2.17762e-38 t=66314
re 	惹	c=5 d=1.0788e-10 t=66314
re 	熱	c=3 d=1.08421e-10 t=66314
re bei 	惹被	c=1 d=1 t=25642
re bei 	熱備	c=4 d=2.7003 t=54252
re bei pan 	熱備盤	c=1 d=1 t=26436
re dian 	熱點	c=1 d=7.74207e-49 t=66314
re sou 	熱搜	c=1 d=1 t=28778
ren 	人	c=58 d=1.0495 t=66314
ren 	忍	c=1 d=1 t=34150
ren 	認	c=1 d=1 t=57786
ren duo 	人多	c=2 d=0.985112 t=66314
ren gong 	人工	c=1 d=1.80798e-26 t=66314
ren ji 	人機	c=2 d=2.44789e-21 t=66314
ren jian 	人間	c=1 d=1 t=35709
ren jian he yi 	人劍合一	c=1 d=7.15072e-26 t=66314
ren kou 	人口	c=1 d=1 t=55047
ren mei le 	人沒了	c=1 d=1 t=57378
ren men 	人們	c=2 d=1.14625e-47 t=66314
ren qun 	人羣	c=1 d=1.54865e-28 t=66314
ren shi 	人事	c=2 d=0.00158844 t=66314
ren shi 	認識	c=1 d=5.13453e-41 t=66314
ren shi bu 	人事部	c=1 d=1 t=63006
ren shu 	人數	c=1 d=1.24282e-28 t=66314
ren wei 	認爲	c=2 d=1.03239e-22 t=66314
ren wu 	任務	c=53 d=4.93169e-08 t=66314
ren ya 	人呀	c=1 d=1 t=25207
ren zhen 	認真	c=1 d=1.42686e-35 t=66314
ren zheng 	認證	c=2 d=3.01399e-09 t=66314
reng 	扔	c=2 d=8.88791e-18 t=66314
reng diao 	扔掉	c=0 d=0.1 t=30652
reng ran 	仍然	c=1 d=1 t=57417
ri 	日	c=5 d=0.000170591 t=66314
ri bao 	日報	c=4 d=5.13295e-08 t=66314
ri chang 	日常	c=1 d=2.59541e-44 t=66314
ri ji 	日記	c=1 d=1 t=33662
ri li 	日曆	c=9 d=0.582604 t=66314
ri qi 	日期	c=5 d=2.75411e-07 t=66314
ri shi 	日式	c=1 d=3.44904e-07 t=66314
ri zhi 	日誌	c=113 d=2.14198 t=66314
ri zhi ji 	日誌機	c=2 d=1.00001 t=32290
ri zhi liang 	日誌量	c=2 d=1.55433 t=41489
ri zhi zhong 	日誌中	c=1 d=3.53635e-07 t=66314
rong 	容	c=1 d=1 t=40948
rong duan 	熔斷	c=1 d=1 t=44163
rong he 	融合	c=3 d=5.95432e-19 t=66314
rong liang 	容量	c=13 d=0.600496 t=66314
rong na 	容納	c=0 d=0.1 t=41583
rong na hui 	容納會	c=1 d=1 t=41584
rong qi 	容器	c=58 d=0.0789068 t=66314
rong yao 	榮耀	c=1 d=1 t=42949
rong yi 	容易	c=8 d=1.07029e-05 t=66314
rong yi zang 	容易髒	c=1 d=4.11705e-31 t=66314
rong yu 	冗餘	c=4 d=0.1 t=63037
rong yu 	榮譽	c=2 d=1 t=48767
rong yu le 	冗餘了	c=1 d=1 t=63038
rou 	肉	c=1 d=1.42071e-43 t=66314
ru 	入	c=6 d=0.159614 t=66314
ru 	如	c=32 d=0.0381817 t=66314
ru guo 	如果	c=68 d=0.00228834 t=66314
ru he 	如何	c=39 d=2.13703e-11 t=66314
ru ke 	如可	c=1 d=1 t=54242
ru kou 	入口	c=11 d=1.684e-24 t=66314
